Id,SalePrice
1461,125382.0
1462,154681.5
1463,187135.0
1464,184838.17
1465,204421.96
1466,185237.82
1467,168209.46
1468,171881.36
1469,178605.78
1470,121855.6
1471,191491.62
1472,93824.0
1473,106924.0
1474,151373.5
1475,147561.85
1476,362694.2
1477,255422.38
1478,298684.1
1479,253821.45
1480,406731.32
1481,300972.55
1482,208398.71
1483,175418.79
1484,175522.28
1485,168097.79
1486,193567.47
1487,332217.69
1488,246060.17
1489,212074.88
1490,197764.22
1491,195533.35
1492,101125.0
1493,180461.4
1494,288810.73
1495,290741.92
1496,218723.7
1497,192806.4
1498,153333.08
1499,151895.11
1500,154829.18
1501,165758.0
1502,167985.55
1503,304364.02
1504,230675.61
1505,221447.64
1506,193463.2
1507,223281.4
1508,202278.5
1509,166466.5
1510,150018.5
1511,149316.0
1512,170172.14
1513,154921.88
1514,166870.5
1515,174800.59
1516,166903.5
1517,148523.39
1518,127381.34
1519,218868.26
1520,137677.0
1521,147389.75
1522,167272.5
1523,109686.5
1524,119278.5
1525,127846.0
1526,123352.87
1527,108819.5
1528,127860.5
1529,144336.75
1530,167049.5
1531,130965.53
1532,105609.5
1533,144627.55
1534,115800.08
1535,156528.18
1536,123349.0
1537,85869.5
1538,192404.41
1539,233016.34
1540,113430.12
1541,150209.55
1542,135869.86
1543,213848.13
1544,80715.04
1545,107136.04
1546,126627.02
1547,130144.5
1548,128334.84
1549,119599.39
1550,143407.02
1551,116456.25
1552,142181.84
1553,154483.24
1554,112273.44
1555,178313.0
1556,96748.0
1557,120266.95
1558,98173.08
1559,116839.21
1560,147019.27
1561,145802.0
1562,125621.14
1563,122798.1
1564,162904.64
1565,153675.37
1566,202037.55
1567,86609.87
1568,229144.0
1569,147311.5
1570,133109.08
1571,134649.21
1572,141995.25
1573,231204.25
1574,125586.14
1575,204750.69
1576,214461.06
1577,205139.41
1578,154818.18
1579,144305.9
1580,194418.41
1581,141649.0
1582,126683.0
1583,333442.85
1584,246592.99
1585,139998.0
1586,74808.0
1587,108421.0
1588,149846.75
1589,104009.0
1590,136352.0
1591,101812.0
1592,126680.03
1593,120192.02
1594,133688.01
1595,130169.52
1596,223550.16
1597,162940.85
1598,183635.83
1599,207433.27
1600,198335.02
1601,80572.5
1602,117557.0
1603,103194.54
1604,301705.67
1605,252018.05
1606,166463.0
1607,163929.87
1608,209642.18
1609,199838.35
1610,163164.26
1611,151834.19
1612,161940.48
1613,166395.04
1614,121732.1
1615,91335.5
1616,87382.0
1617,90375.0
1618,126991.5
1619,136265.24
1620,149128.27
1621,139279.56
1622,151916.37
1623,289680.72
1624,213888.25
1625,128853.0
1626,172991.0
1627,190112.0
1628,282185.62
1629,171936.65
1630,362855.74
1631,222311.18
1632,246495.06
1633,163755.03
1634,179321.9
1635,181985.82
1636,160956.7
1637,176519.41
1638,213099.95
1639,179975.0
1640,248528.56
1641,186794.84
1642,217649.31
1643,224523.81
1644,233856.51
1645,184081.5
1646,153927.0
1647,166916.03
1648,138634.41
1649,139782.0
1650,121589.6
1651,121866.53
1652,93180.0
1653,97155.0
1654,158938.5
1655,161430.2
1656,151377.8
1657,156648.0
1658,156145.52
1659,148525.31
1660,148113.0
1661,392628.19
1662,367903.37
1663,373295.18
1664,428405.25
1665,323543.96
1666,339615.65
1667,347797.49
1668,340985.58
1669,300941.74
1670,337642.92
1671,249092.52
1672,445925.2
1673,295172.27
1674,248647.16
1675,183243.65
1676,183281.22
1677,204263.8
1678,404989.36
1679,385718.09
1680,327870.17
1681,273927.16
1682,315879.55
1683,182705.11
1684,169876.71
1685,173223.81
1686,168172.34
1687,165516.63
1688,182889.15
1689,192027.5
1690,181366.63
1691,171747.77
1692,279951.68
1693,164301.0
1694,179896.9
1695,164648.47
1696,269475.35
1697,165533.94
1698,335378.26
1699,318298.66
1700,238359.24
1701,268199.35
1702,263165.11
1703,247388.89
1704,294113.49
1705,247261.76
1706,393408.8
1707,227151.97
1708,220033.76
1709,276845.04
1710,224755.34
1711,286833.77
1712,239061.94
1713,246222.18
1714,218649.78
1715,202645.64
1716,179814.77
1717,162524.44
1718,134641.97
1719,208179.24
1720,247269.57
1721,162308.29
1722,131819.9
1723,155406.33
1724,214650.58
1725,234062.29
1726,183912.65
1727,171865.23
1728,186650.59
1729,163634.54
1730,166845.96
1731,126368.0
1732,130636.93
1733,127713.5
1734,132062.0
1735,130965.0
1736,117257.0
1737,366338.38
1738,216991.25
1739,267567.64
1740,184848.51
1741,188373.22
1742,164462.48
1743,165027.13
1744,322687.49
1745,229418.24
1746,260869.19
1747,215122.35
1748,198761.2
1749,160038.0
1750,145659.5
1751,236516.21
1752,124377.5
1753,141303.57
1754,210134.55
1755,165628.68
1756,123809.7
1757,118550.5
1758,148686.5
1759,175715.0
1760,156275.0
1761,151725.5
1762,174795.2
1763,167454.34
1764,117331.5
1765,180278.0
1766,172063.5
1767,207374.0
1768,136366.75
1769,164105.82
1770,137496.0
1771,135680.0
1772,137901.0
1773,139003.5
1774,127849.75
1775,129338.0
1776,121907.0
1777,116097.0
1778,129227.75
1779,116152.5
1780,180371.22
1781,126949.5
1782,92402.0
1783,129271.62
1784,103723.0
1785,121208.5
